"Algorithm","Hash","Path"
"SHA256","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","2E08D1F6000AEF541797D008C05AC36F4DBEBFB36CBAC5615788E6FCC5B300A7","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","62C1E74B39C96C61A83B1F26A7EB4DAAA51521EC24007744BA3BEA08219B1406","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","9C28F44E30F459AED5A45795E44811C163C3A71B13D72E36D693F0E99E47A03A","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","72DAF37085EA21481A6B1E3A9D97474F66A89438998329348D6965FD64F83D7C","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","B6C208A5CB03E0B6CE41490AC612106136F1247FF4288E1C013BC444FBBC07D7","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","A55D8EF4FB91CE55209EFED9B79084097830D37BFD0563F78219899852C35456","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","942272919092E9F0F53F5E50609842CA71CDEE702EF0D0DDC8A54FFAF1FC9E42","C:\LAB3\Evidence\start_time.txt"
"SHA256","2E08D1F6000AEF541797D008C05AC36F4DBEBFB36CBAC5615788E6FCC5B300A7","C:\LAB3\Evidence\sysmon_persistence.txt"
